gene,mean_abs_shap,mean_shap,std_shap,rank
blaOXA-23,0.197402,0.013451,0.236455,1
aph(3')-Ia,0.058529,-0.014338,0.066133,2
gyrA_S81L,0.058001,0.050408,0.037853,3
blaOXA-100,0.051401,0.014713,0.073122,4
adeC,0.047413,0.005783,0.053581,5
blaOXA-71,0.035231,0.011523,0.058382,6
blaOXA-58,0.028454,-0.005728,0.035372,7
blaOXA-72,0.02832,-0.012868,0.053405,8
blaOXA-66,0.024758,-0.009449,0.033589,9
adeS_G336S,0.021611,0.012455,0.053704,10
blaOXA-312,0.020306,-0.008064,0.041464,11
blaADC-30,0.019445,-0.011571,0.030108,12
qacEdelta1,0.016557,0.002677,0.019265,13
sul2,0.015399,-0.000729,0.021456,14
blaTEM-1,0.013964,-0.004652,0.02557,15
blaADC-162,0.013637,-0.001374,0.035381,16
blaOXA,0.012032,-0.002524,0.031381,17
blaOXA-68,0.007513,0.003382,0.014212,18
tet(A),0.00633,-0.002627,0.007842,19
adeS_N125K,0.006235,0.002993,0.016959,20
blaADC-76,0.005834,0.002499,0.011446,21
dfrA44,0.005508,0.00279,0.008385,22
aac(3)-IIe,0.00428,0.000412,0.008938,23
blaOXA-82,0.004055,-0.001829,0.007611,24
blaADC-96,0.003687,0.003687,0.002,25
blaOXA-113,0.003599,-0.003599,0.002125,26
floR,0.003534,0.003534,0.002021,27
aacA16,0.003519,-0.000764,0.007394,28
abaF,0.003303,0.00207,0.004509,29
parC_S84L,0.003025,0.001781,0.004219,30
dfrA1,0.002434,0.001477,0.010696,31
sat2,0.002417,0.001512,0.010856,32
blaADC,0.002323,0.000527,0.004601,33
blaADC-25,0.002186,-0.002186,0.001143,34
armA,0.002163,0.000581,0.005042,35
blaCARB-16,0.002111,0.001201,0.01055,36
blaOXA-313,0.002066,-0.002066,0.001082,37
blaOXA-523,0.002012,-0.002012,0.001049,38
blaCTX-M-15,0.001961,0.001116,0.009804,39
blaOXA-94,0.001939,0.000259,0.004375,40
blaADC-140,0.001816,-0.001816,0.00084,41
merD,0.001762,-6.9e-05,0.003423,42
blaOXA-855,0.001668,0.000969,0.008398,43
blaADC-84,0.001653,0.000943,0.008267,44
blaOXA-317,0.000917,0.000917,0.000617,45
blaOXA-402,0.000635,0.000635,0.000431,46
blaADC-169,0.00052,0.00052,0.000378,47
merP,0.000363,0.000199,0.000595,48
blaADC-74,7.1e-05,-7.1e-05,3.1e-05,49
blaADC-11,2.6e-05,-2.6e-05,1.4e-05,50
